,germination,growth,maturity
18863,282.4369875776397,287.4393944099378,280.256149068323
18864,281.1566468253968,287.2653869047619,279.4753968253968
18865,280.86603498542274,286.9363070942663,279.3350826044703
18866,282.2592857142858,287.5720982142857,279.91318452380955
18867,279.9778571428571,285.977841781874,278.2072734254992
18868,281.0990285714286,287.4717460317461,279.3099301587302
18869,282.00092032967024,287.4385439560439,279.85914835164834
18870,282.2093750000001,287.42607142857133,279.93950892857146
18871,281.6742222222222,286.9893015873016,279.51125396825404
18872,280.60155923344945,286.829425087108,279.1535452961673
18873,281.02293078055965,287.19108247422673,279.5708321060383
18874,281.9220388349515,287.496879334258,279.82829403606104
18875,280.85126050420166,286.87983753501396,278.6937927170868
18876,281.03796243597037,287.5074103585658,279.35754126351736
18877,280.8302889245586,287.07359550561796,279.31701444622786
18878,280.7711238095238,287.0003047619048,278.8855809523809
18879,281.7264178302901,287.7606659505908,279.9427658431793
18880,282.6152513227513,287.731626984127,280.2842989417989
18881,282.54573308270676,287.79828947368424,280.6622932330826
18882,280.41319124423967,286.5031451612903,278.79838709677426
18883,282.7513613445379,287.91897478991604,280.7206890756302
18884,280.23275817555935,286.90753442340787,278.72157056798613
18885,285.54014652014655,291.43937728937726,283.55227106227096
18886,285.9772967032967,291.825032967033,283.5094945054945
18887,285.23451827242536,291.1443521594684,283.77099667774087
18888,284.5002409638555,290.78444061962136,283.00846815834774
18889,282.8509073359073,289.70631274131273,280.82227799227803
18890,284.68897435897435,290.86967032967027,282.5171428571429
18891,286.4902159468439,291.8920431893688,283.6196511627908
18892,282.1418867924528,288.5659568733153,280.2722371967655
18893,285.07616883116884,291.30756493506493,283.15129870129863
18894,285.20512195121944,291.3220557491289,283.09944250871087
18895,283.69048351648354,290.109912087912,281.78024175824174
18896,285.34576354679797,291.2716256157636,283.5412315270936
18897,288.0554642857143,292.9220000000001,285.0321428571428
18898,284.29261669024055,290.3140311173975,282.515162659123
18899,286.05565934065925,292.27311355311355,283.97608058608057
18900,286.0696536796537,291.9219047619048,283.6906060606061
